Copyright, Sundhedsdatastyrelsen
SKS-databasen opdateres jævnligt. Dette udtræk modsvarer opdateringen d 01-07-2024.

"Tekst";"Kode"
"Hæmoragisk feber med renalt syndrom";"DA985"
"Epidemisk hæmoragisk feber";"DA985A"
"Hantavirus-sygdom";"DA985B"
"Epidemisk nefropati";"DA985C"
"Anden viral febersygdom med blødninger";"DA988"
"Virale febersygdomme med blødninger UNS";"DA99"
"Viral febersygdom med blødninger UNS";"DA999"
"Virale infektioner karakteriseret ved hud- og slimhindeaffektioner [DB00-DB09]";""
"Herpes simplex-infektion";"DB00"
"Herpeseksem";"DB000"
"Herpesudbrud med blærer";"DB001"
"Herpes facialis";"DB001A"
"Herpes labialis";"DB001B"
"Ekstern otitis forårsaget af Herpes simplex-virus";"DB001C"
"Gingivostomatitis eller faryngotonsillitis forårsaget af Herpes simplex-virus";"DB002"
"Gingivostomatitis forårsaget af Herpes simplex-virus";"DB002A"
"Faryngotonsillitis forårsaget af Herpes simplex-virus";"DB002B"
"Faryngitis forårsaget af Herpes simplex-virus";"DB002C"
"Meningitis forårsaget af Herpes simplex-virus";"DB003"
"Encephalitis forårsaget af Herpes simplex-virus";"DB004"
"Meningoencephalitis forårsaget af Herpes simplex-virus";"DB004A"
"Herpes simplex-infektion i øje";"DB005"
"Herpes generalisata";"DB007"
"Anden form for Herpes simplex-virus infektion";"DB008"
"Infektion med Herpes simplex-virus UNS";"DB009"
"Skoldkopper";"DB01"
"Meningitis forårsaget af Varicella zoster";"DB010"
"Encephalitis forårsaget af Varicella zoster";"DB011"
"Encephalomyelitis forårsaget af Varicella zoster";"DB011A"
"Pneumoni forårsaget af Varicella zoster";"DB012"
"Skoldkopper med anden komplikation";"DB018"
"Skoldkopper UNS";"DB019"
"Zoster";"DB02"
"Herpes zoster-encephalitis";"DB020"
"Herpes zoster-meningoencephalitis";"DB020A"
"Herpes zoster-meningitis";"DB021"
"Herpes zoster med anden komplikation i nervesystemet";"DB022"
"Herpes zoster i øje";"DB023"
"Dissemineret herpes zoster";"DB027"
"Herpes zoster-infektion med anden komplikation";"DB028"
"Herpes zoster-infektion uden komplikation";"DB029"
"Kopper";"DB03"
"Kopper UNS";"DB039"
"Abekopper (monkeypox)";"DB04"
"Abekopper (monkeypox) UNS";"DB049"
"Mæslinger";"DB05"
"Mæslinger kompliceret med encephalitis";"DB050"
"Mæslinger kompliceret med meningitis";"DB051"
"Mæslinger kompliceret med pneumoni";"DB052"
"Mæslinger kompliceret med mellemørebetændelse";"DB053"
"Mæslinger med tarmkomplikation";"DB054"
"Mæslinger med anden komplikation";"DB058"
"Mæslinger uden komplikationer";"DB059"
"Røde hunde";"DB06"
"Røde hunde med neurologisk komplikation";"DB060"
"Røde hunde med anden komplikation";"DB068"
"Røde hunde uden komplikationer";"DB069"
"Virale vorter";"DB07"
"Verrucae virales UNS";"DB079"
"Verruca plana juvenilis";"DB079A"
"Verruca plantaris";"DB079C"
"Epidermodysplasia verruciformis";"DB079D"
"Andre virussygdomme karakteriseret ved hud- og slimhindeaffektioner IKA";"DB08"
"Anden poxvirusinfektion";"DB080"
"Milkers nodule";"DB080A"
"Orf";"DB080B"
"Molluscum contagiosum";"DB081"
"Tredagesfeber";"DB082"
"Lussingesyge";"DB083"
"Hånd-, fod- og mundsygdom";"DB084"
"Herpangina";"DB085"
"Anden virussygdom med hud- og slimhindeaffektion";"DB088"
"Mund- og klovsyge";"DB088A"
"Pharyngitis enteroviralis lymphonodularis";"DB088B"
"Virussygdomme uden nærmere specificering karakteriseret ved hud- og slimhindeaffektioner";"DB09"
"Virusinfektion karakteriseret ved hud- og slimhindeaffektion UNS";"DB099"
"Viralt eksantem UNS";"DB099A"
"Viral leverbetændelse [DB15-DB19]";""
"Akut hepatitis A";"DB15"
"Hepatitis A med leverkoma";"DB150"
"Hepatitis A uden leverkoma";"DB159"
"Hepatitis A UNS";"DB159A"
"Akut hepatitis B";"DB16"
"Akut hepatitis B med coinfektion med Delta agens med leverkoma";"DB160"
"Akut hepatitis B med coinfektion med Delta agens uden leverkoma";"DB161"
"Akut hepatitis B uden coinfektion med Delta agens med leverkoma";"DB162"
"Akut hepatitis B uden coinfektion med Delta agens og uden leverkoma";"DB169"
"Hepatitis B UNS";"DB169A"
"Anden akut viral leverbetændelse";"DB17"
"Akut Delta-superinfektion i kronisk hepatitis B";"DB170"
"Akut hepatitis C";"DB171"
"Akut hepatitis E";"DB172"
"Anden akut viral hepatitis";"DB178"
"Akut viral hepatitis UNS";"DB179"
"Kronisk viral leverbetændelse";"DB18"
"Kronisk viral hepatitis B med Delta agens";"DB180"
"Kronisk viral hepatitis B uden Delta agens";"DB181"
"Kronisk viral hepatitis C";"DB182"
"Anden kronisk viral hepatitis";"DB188"
"Kronisk viral hepatitis UNS";"DB189"
"Viral leverbetændelse uden nærmere specificering";"DB19"
"Viral hepatitis UNS med leverkoma";"DB190"
"Viral hepatitis UNS uden leverkoma";"DB199"
"Human immundefekt virus (HIV) sygdom [DB20-DB24]";""
"Humant immundefekt-virus (HIV) sygdom medførende infektiøse og parasitære sygdomme";"DB20"
"HIV-sygdom med mykobakteriel infektion";"DB200"
"HIV-sygdom med tuberkulose";"DB200A"
"HIV-sygdom med andre bakterielle sygdomme";"DB201"
"HIV-sygdom med cytomegalovirus sygdom";"DB202"
"HIV-sygdom med andre virus infektioner";"DB203"
"HIV-sygdom med candidiasis";"DB204"
"HIV-sygdom med andre svampeinfektioner";"DB205"
"HIV-sygdom med Pneumocystis jirovecii pneumoni";"DB206"
"HIV-sygdom med multiple infektioner";"DB207"
"HIV-sygdom med andre infektiøse og parasitære sygdomme";"DB208"
"HIV-sygdom med infektiøs eller parasitær sygdom UNS";"DB209"
"Humant immundefekt-virus (HIV) sygdom med andre specificerede sygdomme";"DB22"
"HIV-encefalopati";"DB220"
"HIV-demens";"DB220A"
"HIV-lymfoid interstitiel pneumonitis";"DB221"
"HIV-wasting syndrome";"DB222"
"HIV-sygdom med multiple sygdomme klassificeret andetsteds";"DB227"
"Andre tilstande ved HIV-sygdom";"DB23"
"Akut HIV-sygdom";"DB230"
"HIV-sygdom med (persisterende) generaliseret lymfadenopati";"DB231"
"HIV-sygdom med hæmatologiske og immunologiske forandringer IKA";"DB232"
"Anden eller ikke specificeret symptomatisk HIV-sygdom";"DB238"
"HIV-associeret lipodystrofisyndrom (HALS)";"DB238A"
"HIV-sygdom og AIDS uden nærmere specificering";"DB24"
"AIDS UNS";"DB249"
"Andre virale sygdomme [DB25-DB34]";""
"Cytomegalovirale sygdomme";"DB25"
"Cytomegalovirus-pneumoni";"DB250"
"Cytomegalovirus-hepatitis";"DB251"
"Cytomegalovirus-pankreatitis";"DB252"
"Anden sygdom forårsaget af cytomegalovirus";"DB258"
"Cytomegaloviral sygdom UNS";"DB259"
"Fåresyge";"DB26"
"Fåresygeorkitis";"DB260"
"Fåresygemeningitis";"DB261"
"Fåresygeencephalitis";"DB262"
"Fåresygepankreatitis";"DB263"
"Fåresyge med anden komplikation";"DB268"
"Fåresyge uden komplikationer";"DB269"
"Mononukleose";"DB27"
"Mononukleose forårsaget af Epstein-Barr virus";"DB270"
"Mononukleose forårsaget af cytomegalovirus";"DB271"
"Anden infektiøs mononukleose";"DB278"
"Mononukleose UNS";"DB279"
"Viral konjunktivitis";"DB30"
"Keratokonjunktivitis forårsaget af adenovirus";"DB300"
"Konjunktivitis forårsaget af adenovirus";"DB301"
"Akut follikulær konjunktivitis forårsaget af adenovirus";"DB301A"
"Svømmebassin-konjunktivitis";"DB301B"
"Viral faryngokonjunktivitis";"DB302"
"Akut epidemisk hæmoragisk konjunktivitis";"DB303"
"Konjunktivitis forårsaget af coxsackievirus type 24";"DB303A"
"Konjunktivitis forårsaget af enterovirus type 70";"DB303B"
"Akut hæmoragisk konjunktivitis UNS";"DB303C"
"Anden viral konjunktivitis";"DB308"
"Konjunktivitis forårsaget af Newcastle-virus";"DB308A"
"Viral konjunktivitis UNS";"DB309"
"Andre virussygdomme IKA";"DB33"
"Epidemisk myalgi";"DB330"
"Ross River-sygdom";"DB331"
"Viruskarditis";"DB332"
"Retrovirus-infektion IKA";"DB333"
"Hantavirus med (kardio-)pulmonalt syndrom";"DB334"
"Anden virussygdom";"DB338"
"Virussygdom uden angivelse af lokalisation";"DB34"
"Adenovirus-infektion uden angivelse af lokalisation";"DB340"
"Enterovirus-infektion uden angivelse af lokalisation";"DB341"
"Coxsackievirus-infektion UNS";"DB341A"
"Echovirus-infektion UNS";"DB341B"
"Coronavirus-infektion uden angivelse af lokalisation";"DB342"
"COVID-19-infektion uden angivelse af lokalisation";"DB342A"
"Parvovirus-infektion uden angivelse af lokalisation";"DB343"
"Papovavirus-infektion uden angivelse af lokalisation";"DB344"
"Anden virusinfektion uden angivelse af lokalisation";"DB348"
"Virusinfektion UNS";"DB349"
"Viræmi UNS";"DB349A"
"Svampesygdomme [DB35-DB49]";""
"Hudsvamp";"DB35"
"Svampesygdom i hovedbunden eller skægregionen";"DB350"
"Tinea capitis";"DB350A"
"Tinea barbae";"DB350B"
"Kerion";"DB350C"
"Neglesvamp";"DB351"
"Håndsvamp";"DB352"
"Fodsvamp";"DB353"
"Svampesygdom på kroppen";"DB354"
"Dermatophytosis perigenitalis";"DB354A"
"Tinea imbricata";"DB355"
"Svampesygdom på benet";"DB356"
"Dermatophytosis inguinalis";"DB356B"
"Anden form for dermatofytose";"DB358"
"Dermatophytosis disseminata";"DB358A"
"Favus";"DB358B"
"Dermatofytose UNS";"DB359"
"Andre overfladiske svampeinfektioner";"DB36"
"Pityriasis versicolor";"DB360"
"Tinea nigra";"DB361"
"Hvid piedra";"DB362"
"Sort piedra";"DB363"
"Anden overfladisk svampeinfektion";"DB368"
"Pityrosporum folliculitis";"DB368A"
"Overfladisk svampeinfektion UNS";"DB369"
"Infektion med Candida albicans";"DB37"
"Candidiasis i mundhule";"DB370"
"Trøske";"DB370A"
"Candidiasis i lunge";"DB371"
"Candidiasis i hud og negle";"DB372"
"Candidiasis cutis";"DB372A"
"Candidiasis unguinis";"DB372B"
"Candidiasis i vulva og vagina";"DB373"
"Candidiasis-vaginitis";"DB373A"
"Candidiasis-vulvitis";"DB373B"
"Candidiasis-vulvovaginitis";"DB373C"
"Urogenital candidiasis med anden lokalisation";"DB374"
"Candidiasis-meningitis";"DB375"
"Candidiasis-endokarditis";"DB376"
"Candidiasis-sepsis";"DB377"
"Candidiasis med anden lokalisation";"DB378"
"Candidiasis-keilitis";"DB378A"
"Candidiasis-enteritis";"DB378B"
"Candidiasis-øsofagitis";"DB378C"
"Candidiasis UNS";"DB379"
"Coccidioidomykose";"DB38"
"Akut pulmonal coccidioidomykose";"DB380"
"Kronisk pulmonal coccidioidomykose";"DB381"
"Pulmonal coccidioidomykose UNS";"DB382"
"Kutan coccidioidomykose";"DB383"
"Coccidioido-meningitis";"DB384"
"Dissemineret coccidioidomykose";"DB387"
"Anden form for coccidioidomykose";"DB388"
"Coccidioidomykose UNS";"DB389"
"Histoplasmose";"DB39"
"Akut pulmonal Histoplasmosis capsulati";"DB390"
"Kronisk pulmonal Histoplasmosis capsulati";"DB391"
"Pulmonal Histoplasmosis capsulati UNS";"DB392"
"Dissemineret Histoplasmosis capsulati";"DB393"
"Histoplasmosis capsulati UNS";"DB394"
"Histoplasmosis duboisii";"DB395"
"Histoplasmose UNS";"DB399"
"Blastomykose";"DB40"
"Akut pulmonal blastomykose";"DB400"
"Kronisk pulmonal blastomykose";"DB401"
"Pulmonal blastomykose UNS";"DB402"
"Kutan blastomykose";"DB403"
"Dissemineret blastomykose";"DB407"
"Anden form for blastomykose";"DB408"
"Blastomykose UNS";"DB409"
"Paracoccidioidomykose";"DB41"
"Pulmonal paracoccidioidomykose";"DB410"
"Dissemineret paracoccidioidomykose";"DB411"
"Anden form for paracoccidioidomykose";"DB418"
"Paracoccidioidomykose UNS";"DB419"
"Sporotrikose";"DB42"
"Pulmonal sporotrikose";"DB420"
"Lymfokutan sporotrikose";"DB421"
"Dissemineret sporotrikose";"DB427"
"Anden form for sporotrikose";"DB428"
"Sporotrikose UNS";"DB429"
"Kromomykose og fæomykotisk absces";"DB43"
"Kutan kromomykose";"DB430"
"Fæomykotisk hjerneabsces";"DB431"
"Subkutan fæomykotisk absces";"DB432"
"Anden form for kromomykose";"DB438"
"Kromomykose UNS";"DB439"
"Aspergillose";"DB44"
"Invasiv pulmonal aspergillose";"DB440"
"Anden pulmonal aspergillose";"DB441"
"Pulmonalt aspergillom";"DB441A"
"Trakeobronkial aspergillose";"DB441B"
"Tonsillær aspergillose";"DB442"
"Dissemineret aspergillose";"DB447"
"Anden form for aspergillose";"DB448"
"Kolonisering med aspergillus";"DB448A"
"Ekstern otitis ved aspergillose";"DB448B"
"Aspergillosis UNS";"DB449"
"Kryptokokkose";"DB45"
"Pulmonal kryptokokkose";"DB450"
"Cerebral kryptokokkose";"DB451"
"Meningocerebral kryptokokkose";"DB451B"
"Kutan kryptokokkose";"DB452"
"Ossøs kryptokokkose";"DB453"
"Dissemineret kryptokokkose";"DB457"
"Anden form for kryptokokkose";"DB458"
"Kryptokokkose UNS";"DB459"
"Zygomykose";"DB46"
"Pulmonal mukormykose";"DB460"
"Rinocerebral mukormykose";"DB461"
"Gastrointestinal mukormykose";"DB462"
"Kutan mukormykose";"DB463"
"Subkutan mukormykose";"DB463A"
"Dissemineret mukormykose";"DB464"
"Mukormykose UNS";"DB465"
"Anden form for zygomykose";"DB468"
"Entomophthoromykose";"DB468A"
"Zygomykose UNS";"DB469"
"Fykomykose UNS";"DB469B"
"Mycetoma";"DB47"
"Eumycetom";"DB470"
"Aktinomycetom";"DB471"
"Mycetoma UNS";"DB479"
"Andre mykoser IKA";"DB48"
"Lobomykose";"DB480"
"Rinosporidiose";"DB481"
"Allescheriasis";"DB482"
"Geotrikose";"DB483"
"Penicillose";"DB484"
"Pneumocystose";"DB485"
"Opportunistisk mykose";"DB487"
"Anden mykose";"DB488"
"Ikke nærmere specificerede mykoser";"DB49"
"Mykose UNS";"DB499"
"Fungæmi UNS";"DB499A"
"Protozosygdomme [DB50-DB64]";""
"Plasmodium falciparum-malaria";"DB50"
"Plasmodium falciparum-malaria med cerebrale komplikationer";"DB500"
"Cerebral malaria UNS";"DB500A"
"Anden alvorlig eller kompliceret Plasmodium falciparum-malaria";"DB508"
"Plasmodium falciparum-malaria uden komplikationer";"DB509"
"Plasmodium vivax-malaria";"DB51"
"Plasmodium vivax-malaria med miltruptur";"DB510"
"Plasmodium vivax-malaria med anden komplikation";"DB518"
"Plasmodium vivax-malaria uden komplikationer";"DB519"
"Plasmodium malariae-malaria";"DB52"
"Plasmodium malariae-malaria med nefropati";"DB520"
"Plasmodium malariae-malaria med anden komplikation";"DB528"
"Plasmodium malariae-malaria uden komplikationer";"DB529"
"Anden parasitologisk verificeret malaria";"DB53"
"Plasmodium ovale-malaria";"DB530"
"Malaria forårsaget af abe-plasmodier";"DB531"
"Anden parasitologisk verificeret malaria IKA";"DB538"
"Parasitologisk verificeret malaria UNS";"DB538A"
"Malaria uden nærmere specificering";"DB54"
"Klinisk malaria, ikke parasitologisk verificeret";"DB549"
"Leishmaniasis";"DB55"
"Visceral leishmaniasis";"DB550"
"Kutan leishmaniasis";"DB551"
"Mukokutan leishmaniasis";"DB552"
"Leishmaniasis UNS";"DB559"
"Afrikansk sovesyge";"DB56"
"Vestafrikansk sovesyge";"DB560"
"Østafrikansk sovesyge";"DB561"
"Afrikansk sovesyge UNS";"DB569"
"Chagas' sygdom";"DB57"
"Akut Chagas' sygdom med hjertekomplikationer";"DB570"
"Akut Chagas' sygdom uden hjertekomplikationer";"DB571"
"Kronisk Chagas' sygdom med hjertekomplikationer";"DB572"
"Trypanosomiasis UNS i område, hvor Chagas' sygdom forekommer";"DB572A"
"Kronisk Chagas' sygdom med gastrointestinale komplikationer";"DB573"
"Chagas' sygdom med neurologiske komplikationer";"DB574"
"Chagas' sygdom med anden komplikation";"DB575"
"Chagas' sygdom UNS";"DB579"
"Toksoplasmose";"DB58"
"Toksoplasmose i øje";"DB580"
"Hepatitis ved toksoplasmose";"DB581"
"Meningoencephalitis ved toksoplasmose";"DB582"
"Pulmonal toksoplasmose";"DB583"
"Toksoplasmose med anden lokalisation IKA";"DB588"
"Toksoplasmose UNS";"DB589"
"Andre sygdomme forårsaget af protozoer IKA";"DB60"
"Babesiose";"DB600"
"Piroplasmose";"DB600A"
"Acanthamoebiasis";"DB601"
"Naegleriasis";"DB602"
"Anden sygdom forårsaget af protozoer";"DB608"
"Mikrosporidiose";"DB608A"
"Sygdomme forårsaget af protozoer UNS";"DB64"
"Sygdom forårsaget af protozoer UNS";"DB649"
"Ormesygdomme [DB65-DB83]";""
"Skistosomiasis";"DB65"
"Skistosomiasis forårsaget af Schistosoma haematobium";"DB650"
"Skistosomiasis forårsaget af Schistosoma mansoni";"DB651"
"Skistosomiasis forårsaget af Schistosoma japonicum";"DB652"
"Dermatitis cercaria";"DB653"
"Anden type skistosomiasis";"DB658"
"Skistosomiasis UNS";"DB659"
"Andre ikte-infektioner";"DB66"
"Opisthorchiasis";"DB660"
"Clonorchiasis";"DB661"
"Dicrocoeliasis";"DB662"
"Fascioliasis";"DB663"
"Paragonimiasis";"DB664"
"Fasciolopsiasis";"DB665"
"Anden ikte-infektion";"DB668"
"Ikte-infektion UNS";"DB669"
"Ekinokokkose";"DB67"
"Infektion med Echinococcus granulosus i leveren";"DB670"
"Infektion med Echinococcus granulosus i lunge";"DB671"
"Infektion med Echinococcus granulosus i knogle";"DB672"
"Infektion med Echinococcus granulosus med anden eller multiple lokalisationer";"DB673"
"Infektion med Echinococcus granulosus UNS";"DB674"
"Infektion med Echinococcus multilocularis i leveren";"DB675"
"Infektion med Echinococcus multilocularis med anden eller multiple lokalisationer";"DB676"
"Infektion med Echinococcus multilocularis UNS";"DB677"
"Ekinokokinfektion i leveren UNS";"DB678"
"Anden eller ikke specificeret ekinokokinfektion";"DB679"
"Infektion med bændelorm";"DB68"
"Taeniasis forårsaget af Taenia solium";"DB680"
"Taeniasis forårsaget af Taenia saginata";"DB681"
"Taeniasis UNS";"DB689"
"Cysticerkose";"DB69"
"Cysticerkose i centralnervesystemet";"DB690"
"Cysticerkose i øje";"DB691"
"Cysticerkose med anden lokalisation";"DB698"
"Cysticerkose UNS";"DB699"
"Diphyllobothriasis og sparganosis";"DB70"
"Diphyllobothriasis";"DB700"
"Sparganosis";"DB701"
"Andre bændelormeinfestationer";"DB71"
"Hymenolepiasis";"DB710"
"Dipylidiasis";"DB711"
"Anden bændelormeinfestation";"DB718"
"Infestation med bændelorm UNS";"DB719"
"Dracunculiasis";"DB72"
"Dracunculiasis UNS";"DB729"
"Onchocerciasis";"DB73"
"Onchocerkose UNS";"DB739"
"Filariose";"DB74"
"Wuchereria bancrofti filariasis";"DB740"
"Brugia malayi filariasis";"DB741"
"Brugia timori filariasis";"DB742"
"Loa loa filariasis";"DB743"
"Mansonelliasis";"DB744"
"Anden filariose";"DB748"
"Dirofilariose";"DB748B"
"Filariose UNS";"DB749"
"Trikinose";"DB75"
"Trikinose UNS";"DB759"
"Infestation med hageorm";"DB76"
"Ancylostomiasis";"DB760"
"Infestation med Necator americanus";"DB761"
"Anden form for infestation med hageorm";"DB768"
"Infestation med hageorm UNS";"DB769"
"Larva migrans cutanea UNS";"DB769A"
"Askariose";"DB77"
"Intestinal ascariasis";"DB770"
"Ascariasis med anden komplikation";"DB778"
"Ascariasis UNS";"DB779"
"Strongyloidose";"DB78"
"Intestinal strongyloidiasis";"DB780"
"Kutan strongyloidiasis";"DB781"
"Dissemineret strongyloidiasis";"DB787"
"Strongyloidiasis UNS";"DB789"
"Infektion med piskeorm";"DB79"
"Infektion med piskeorm UNS";"DB799"
"Infektion med børneorm";"DB80"
"Infektion med børneorm UNS";"DB809"
"Andre intestinale ormeinfestationer IKA";"DB81"
"Anisakiasis";"DB810"
"Intestinal capillariasis";"DB811"
"Trichostrongyliasis";"DB812"
"Intestinal angiostrongyliasis";"DB813"
"Blandet intestinal ormeinfestation";"DB814"
"Anden intestinal ormeinfestation";"DB818"
"Intestinale infestationer med parasitter uden nærmere specificering";"DB82"
"Intestinal ormesygdom UNS";"DB820"
"Intestinal infestation med parasitter UNS";"DB829"
"Andre ormesygdomme";"DB83"
"Larva migrans visceralis";"DB830"
"Toxocariasis";"DB830A"
"Gnathostomiasis";"DB831"
"Angiostrongyliasis forårsaget af Parastrongylus cantonensis";"DB832"
"Syngamiasis";"DB833"
"Intern infestation med igler";"DB834"
"Anden ormesygdom";"DB838"
"Ormesygdom UNS";"DB839"
"Infestationer med lus, mider og andre ektoparasitter [DB85-DB89]";""
"Infestation med lus";"DB85"
"Infestation med hovedlus";"DB850"
"Infestation med kropslus";"DB851"
"Infestation med lus UNS";"DB852"
"Infestation med fladlus";"DB853"
"Blandingsinfestation med lus";"DB854"
"Fnat";"DB86"
"Scabies UNS";"DB869"
"Scabies crustosa";"DB869A"
"Persisterende noduli ved scabies";"DB869B"
"Myiasis";"DB87"
"Kutan myiasis";"DB870"
"Myiasis i sår";"DB871"
"Okulær myiasis";"DB872"
"Nasofaryngeal myiasis";"DB873"
"Myiasis i øre";"DB874"
"Myiasis med anden lokalisation";"DB878"
"Myiasis UNS";"DB879"
"Andre infestationer med leddyr";"DB88"
"Anden sygdom fremkaldt af mider";"DB880"
"Infestation med sandlopper";"DB881"
"Infestation med andet leddyr";"DB882"
"Ekstern infestation med igler";"DB883"
"Anden infestation med leddyr";"DB888"
"Cheyletiella-infestation";"DB888A"
"Infestation med væggelus";"DB888B"
"Infestation med lopper";"DB888C"
"Infestation med hårsækmider";"DB888D"
"Infestation med leddyr UNS";"DB889"
"Sygdom forårsaget af parasit UNS";"DB89"
"Parasitær sygdom UNS";"DB899"
"Parasitæmi UNS";"DB899A"
"Følgetilstande efter infektiøse og parasitære sygdomme [DB90-DB94]";""
"Følger efter tuberkulose";"DB90"
"Følger efter tuberkulose i centralnervesystemet";"DB900"
"Følger efter tuberkulose i urin- og kønsorganer";"DB901"
"Følger efter tuberkulose i knogler og led";"DB902"
"Følger efter tuberkulose i andet organ";"DB908"
"Følger efter tuberkulose i åndedrætsorgan og uden angivelse af lokalisation";"DB909"
